SKU,Producto,Categoria,Marca,Precio,Stock Actual,Caducidad,Estado
COBUQY43DQ,Aguja Larga,Material Cirugia,Star-Ject,0.0,0,,Activo
ZQWDVP6PT0,Anestesia 2%,Material Cirugia,3M,0.0,0,,Activo
5ZGXXPIKEI,Anestesia Topica Gel,Material Cirugia,3M,0.0,0,,Activo
1NLDCWHGQC,Articaina 4%,Material Cirugia,3M,0.0,0,,Activo
KKKAI0HDJI,Articanina 4%,Material Cirugia,3M,0.0,0,,Activo
1RST77OJQ1,Bisturi Esteril N11,Material Cirugia,3M,0.0,0,,Activo
QB99NGL1WS,Bisturi Esteril N15,Material Cirugia,3M,0.0,0,,Activo
0UYQLXJVXL,Bisturi Esteril N15 C,Material Cirugia,3M,0.0,0,,Activo
TSHGCUSMIO,Cinta Control Autoclave,Material Cirugia,3M,0.0,0,,Activo
MFPOU5JSIB,Eyector Esteril,Material Cirugia,3M,0.0,0,,Activo
ARDE53PPHS,Gasa Quirurjica,Material Cirugia,3M,0.0,0,,Activo
X31KID0SRZ,Guantes Nítrilo S,Material Cirugia,3M,0.0,0,,Activo
LOXHVPSD3B,Hilo de Sutura 1/2 Circulo 3.0 trenzada,Material Cirugia,3M,0.0,0,,Activo
AVXGSJBGB8,Hilo de Sutura 1/2 Circulo 4.0 absorvible,Material Cirugia,3M,0.0,0,,Activo
XLVERE3ZUQ,Hilo de Sutura 1/2 Circulo 4.0 trenzada,Material Cirugia,3M,0.0,0,,Activo
CVZTCMFWVO,Hilo de Sutura 1/2 Circulo 5.0 absorbible,Material Cirugia,3M,0.0,0,,Activo
9FUYW2V0LF,Hilo de Sutura 1/2 Circulo 5.0 trenzada,Material Cirugia,3M,0.0,0,,Activo
J464ZVCUWB,Hilo Retractor 0,Material Cirugia,3M,0.0,0,,Activo
BYQD08KBQP,Hilo Retractor 00,Material Cirugia,3M,0.0,0,,Activo
ZGJQ3N9PM6,Infiltración concepto Vestibular Set 3 Jeringas,Material Cirugia,3M,0.0,0,,Activo
2R99XWF8BO,Jeringa 3ml para endodoncia,Material Cirugia,3M,0.0,0,,Activo
